Total time: 2364109.555580, IO: 1956094.338742 (82.741273%), M: 201326592, B: 10000000
Total time: 1530669.028188, IO: 1344248.658392 (87.820988%), M: 201326592, B: 10000000, part: 4, P: 10
Total time: 1702891.597828, IO: 1302585.072609 (76.492542%), M: 201326592, B: 10000000, part: 4, P: 10
Total time: 3067937.966407, IO: 2526845.180135 (82.362982%), M: 201326592, B: 10000000, part: 2, P: 10
Total time: 1730832.204700, IO: 1452391.752582 (83.912915%), M: 201326592, B: 10000000, part: 8, P: 10
Total time: 1457312.596004, IO: 1155510.948260 (79.290535%), M: 201326592, B: 10000000, part: 16, P: 10
Total time: 1821645.988521, IO: 1463227.206642 (80.324455%), M: 201326592, B: 10000000, part: 32, P: 10
Total time: 1818401.184550, IO: 1401226.333892 (77.058151%), M: 201326592, B: 1000000, part: 4, P: 10
Total time: 1892099.170546, IO: 1391512.820245 (73.543334%), M: 201326592, B: 1000000, part: 64, P: 10
Total time: 1698457.563718, IO: 1304067.423493 (76.779512%), M: 201326592, B: 50000000, part: 4, P: 10
Total time: 1658229.822516, IO: 1279980.610434 (77.189578%), M: 201326592, B: 10000000, part: 4, P: 100
Total time: 1432179.181774, IO: 1058139.587222 (73.883184%), M: 201326592, B: 10000000, part: 4, P: 1000
Total time: 1392708.222451, IO: 1020182.419481 (73.251698%), M: 201326592, B: 10000000, part: 4, P: 10000
Total time: 1596612.418999, IO: 1212104.826692 (75.917287%), M: 201326592, B: 10000000, part: 4, P: 50000
Total time: 979478.406652, IO: 719312.405496 (73.438312%), M: 201326592, B: 10000000, part: 16, P: 1000
